aluminium,ammonia,arsenic,cadmium,chloramine,copper,bacteria,viruses,lead,nitrites,perchlorate,radium,selenium,silver,uranium
0.02,15.11,0.01,0.03,0.08,0.31,0.13,0.001,0.016,1.31,5.48,0.57,0.03,0.05,0.05
0.08,21.14,0.05,0.04,0.03,0.0,0.0,0.55,0.105,0.39,2.53,1.47,0.08,0.04,0.06
0.08,19.36,0.05,0.03,0.3,1.29,0.49,0.001,0.079,1.26,2.22,0.71,0.01,0.01,0.03
0.08,3.09,0.05,0.07,0.31,1.05,0.0,0.0,0.1,1.95,1.69,0.96,0.06,0.02,0.05
0.1,7.6,0.19,0.1,6.98,0.87,0.35,0.001,0.02,1.88,30.54,6.98,0.08,0.24,0.07
0.06,12.44,0.04,0.05,0.13,1.75,0.0,0.0,0.166,1.95,12.17,5.63,0.06,0.08,0.02
0.0,28.14,0.08,0.01,0.09,0.05,0.0,0.006,0.097,0.39,0.03,0.55,0.08,0.02,0.07
0.01,11.45,0.02,0.002,4.42,1.05,0.26,0.002,0.17,1.8,56.76,4.04,0.04,0.2,0.06
0.04,11.54,0.31000000000000005,0.11,6.86,1.18,0.28,0.001,0.032,1.91,53.2,7.46,0.06,0.03,0.07
0.06,0.32,0.05,0.02,0.63,0.36,0.22,0.002,0.065,1.89,7.21,0.88,0.02,0.02,0.06
0.1,7.01,0.0,0.07,0.15,1.22,0.23,0.001,0.151,1.2,4.18,0.12,0.1,0.09,0.02
0.16,15.37,0.04,0.004,2.19,1.9,0.0,0.0,0.165,1.63,23.22,3.43,0.09,0.1,0.0
0.08,9.66,0.08,0.06,0.05,0.13,0.26,0.001,0.157,1.57,0.42,0.56,0.09,0.07,0.0
1.0,26.72,0.31000000000000005,0.07,3.35,0.84,0.89,0.89,0.048,2.43,24.42,3.93,0.06,0.41,0.08
0.07,17.69,0.02,0.1,0.01,0.22,0.57,0.57,0.101,1.04,0.68,0.53,0.04,0.07,0.01
0.04,14.93,0.07,0.02,0.08,1.59,0.08,0.007,0.141,1.45,0.91,0.36,0.05,0.09,0.08
0.01,7.51,0.07,0.02,0.14,0.67,0.48,0.003,0.007,1.32,2.51,0.54,0.09,0.03,0.07
0.03,11.64,0.03,0.002,3.02,1.35,0.21,0.007,0.151,1.95,10.49,7.23,0.08,0.07,0.01
0.07,19.79,0.07,0.12,5.71,0.03,0.56,0.56,0.001,2.53,54.75,7.55,0.06,0.1,0.02
0.05,29.12,0.04,0.08,0.1,0.04,0.0,0.98,0.068,0.87,0.39,0.73,0.05,0.07,0.02
1.0,0.43,0.31000000000000005,0.0,0.33,0.45,0.42,0.005,0.103,1.92,13.52,7.18,0.03,0.24,0.08
0.1,26.31,0.14,0.08,7.57,1.34,0.37,0.007,0.152,2.0,25.76,2.52,0.05,0.23,0.03
0.07,28.29,0.01,0.005,3.55,0.01,0.27,0.007,0.033,1.28,52.7,5.14,0.01,0.06,0.05
0.08,10.11,0.01,0.09,0.07,1.55,0.72,0.72,0.137,1.45,4.64,0.37,0.09,0.1,0.03
0.1,15.46,0.03,0.007,3.99,0.28,0.85,0.85,0.005,1.2,33.56,1.46,0.09,0.23,0.08
0.08,2.02,0.09,0.09,0.02,0.28,0.82,0.82,0.175,1.58,2.14,2.87,0.01,0.02,0.02
0.11,5.8,0.31000000000000005,0.04,3.57,0.09,0.22,0.002,0.001,2.25,38.88,2.28,0.05,0.28,0.05
0.08,12.22,0.0,0.06,0.08,0.0,0.0,0.0,0.122,1.84,0.11,3.91,0.06,0.04,0.04
1.0,2.71,0.31000000000000005,0.12,4.57,1.06,0.0,0.001,0.189,1.85,25.81,0.86,0.1,0.41,0.0
0.05,4.51,0.09,0.03,0.18,0.07,0.82,0.0,0.023,2.26,0.66,3.29,0.03,0.01,0.06
0.05,23.14,0.1,0.08,0.06,1.18,0.0,0.77,0.042,0.81,12.95,0.92,0.05,0.1,0.06
0.04,8.31,0.02,0.09,0.1,0.01,0.0,0.92,0.101,0.0,0.09,0.96,0.01,0.05,0.04
0.06,27.03,0.01,0.002,4.52,1.93,0.55,0.55,0.17,1.51,4.32,4.82,0.04,0.15,0.01
1.0,20.5,0.31000000000000005,0.07,6.53,0.11,0.52,0.52,0.176,1.85,39.46,0.82,0.01,0.47,0.08
1.0,9.21,0.31000000000000005,0.01,0.97,1.49,0.0,0.009,0.159,1.36,4.47,5.52,0.04,0.39,0.0
0.01,6.72,0.08,0.09,0.24,0.28,0.54,0.54,0.197,0.7,6.49,2.22,0.05,0.08,0.05
0.07,22.0,0.08,0.02,0.01,1.66,0.0,0.001,0.017,0.53,0.48,0.3,0.03,0.01,0.08
0.09,11.42,0.08,0.01,0.4,0.02,0.0,0.62,0.05,0.61,3.5,3.14,0.06,0.05,0.02
0.02,24.6,0.03,0.005,5.11,1.45,0.19,0.004,0.133,1.68,58.07,0.18,0.0,0.36,0.08
0.07,22.89,0.02,0.02,0.17,0.05,0.0,0.97,0.086,0.02,2.66,2.94,0.04,0.09,0.01
0.3,6.37,0.25,0.05,3.7,0.5,0.22,0.003,0.095,1.54,21.36,6.6,0.01,0.42,0.07
0.11,2.63,0.04,0.005,3.01,1.6,0.02,0.003,0.178,1.29,13.75,4.89,0.03,0.12,0.01
1.0,18.12,0.03,0.006,1.87,0.66,0.32,0.002,0.028,1.07,40.27,1.16,0.0,0.35,0.02
1.0,21.97,0.01,0.002,6.2,0.01,0.13,0.008,0.121,1.57,11.3,2.08,0.04,0.08,0.0
0.09,16.12,0.13,0.05,4.37,0.08,0.34,0.004,0.172,2.12,37.65,6.66,0.05,0.45,0.08
0.22,26.94,0.001,0.002,7.57,0.36,0.23,0.004,0.055,1.96,49.76,7.97,0.09,0.21,0.05
0.06,11.6,0.02,0.05,0.02,1.17,0.62,0.62,0.177,1.03,0.03,5.88,0.07,0.03,0.07
0.02,3.55,0.03,0.01,0.08,0.04,0.0,0.63,0.128,0.17,7.63,1.57,0.02,0.08,0.06
1.0,25.11,0.31000000000000005,0.12,1.3,0.4,0.0,0.61,0.04,1.88,51.78,0.05,0.03,0.05,0.02
0.57,0.3,0.29,0.06,7.36,0.53,0.38,0.003,0.076,1.36,26.29,5.65,0.07,0.38,0.05
0.23,12.55,0.15,0.11,7.73,1.0,0.0,0.005,0.1,2.89,48.75,1.8,0.04,0.29,0.03
0.09,2.21,0.01,0.1,0.04,1.79,0.0,0.008,0.03,0.77,2.13,2.47,0.08,0.09,0.04
0.09,10.25,0.02,0.1,0.03,1.66,0.43,0.009,0.03,0.02,0.42,0.16,0.08,0.01,0.07
0.06,0.37,0.1,0.03,0.14,0.08,0.0,0.0,0.007,1.46,10.03,6.28,0.01,0.01,0.08
1.0,9.81,0.07,0.12,3.4,1.52,0.39,0.002,0.071,2.14,0.07,1.4,0.04,0.41,0.02
1.0,18.49,0.01,0.002,2.62,1.18,0.0,0.0,0.17,1.94,33.37,4.35,0.08,0.47,0.08
0.02,2.1,0.02,0.05,0.02,1.6,0.02,0.003,0.178,1.29,0.24,0.12,0.03,0.06,0.01
0.02,28.03,0.01,0.01,0.0,1.59,0.0,0.008,0.052,0.55,0.93,0.83,0.08,0.06,0.08
0.03,8.69,0.08,0.07,0.02,1.38,0.0,0.0,0.165,1.28,4.15,0.89,0.01,0.05,0.01
0.06,15.8,0.04,0.007,2.07,0.13,0.69,0.69,0.104,1.41,41.18,3.4,0.09,0.26,0.05
1.0,11.39,0.21,0.07,4.64,1.33,0.0,0.009,0.022,1.6,55.24,5.49,0.07,0.34,0.01
0.03,7.9,0.09,0.04,0.01,0.07,0.0,0.62,0.103,0.29,1.1,0.74,0.06,0.01,0.0
0.04,13.59,0.05,0.01,8.23,0.03,0.76,0.76,0.088,1.17,30.94,7.38,0.1,0.35,0.06
0.06,13.91,0.03,0.08,0.31,0.05,0.0,0.0,0.165,0.78,6.72,2.14,0.07,0.02,0.09
0.22,28.35,0.05,0.005,1.81,0.97,0.12,0.008,0.189,1.12,11.97,4.29,0.07,0.31,0.08
0.01,18.62,0.01,0.05,0.49,1.04,0.0,0.001,0.079,0.08,2.4,2.16,0.03,0.03,0.0
0.05,3.45,0.02,0.09,0.31,0.0,0.0,0.63,0.122,0.43,0.83,0.33,0.07,0.03,0.01
1.0,3.5,0.31000000000000005,0.08,5.92,0.6,0.0,0.0,0.145,1.33,21.71,7.8,0.05,0.33,0.06
0.05,22.0,0.04,0.09,0.02,0.02,0.0,0.003,0.075,0.93,0.85,1.81,0.08,0.06,0.04
0.04,3.95,0.07,0.08,0.01,0.71,0.58,0.58,0.144,1.04,0.73,4.28,0.05,0.02,0.01
0.01,27.3,0.04,0.001,1.62,0.76,0.37,0.003,0.077,1.99,46.12,5.13,0.05,0.2,0.06
0.03,18.42,0.03,0.04,0.11,0.1,0.0,0.92,0.142,0.08,10.52,4.9,0.02,0.06,0.09
0.0,1.02,0.03,0.0,0.34,0.09,0.0,0.0,0.035,1.18,0.08,7.54,0.0,0.06,0.06
1.0,15.32,0.31000000000000005,0.1,6.02,0.22,0.0,0.0,0.052,1.11,5.76,4.74,0.01,0.26,0.05
0.06,13.91,0.06,0.09,0.04,1.48,0.73,0.73,0.126,0.58,4.71,0.5,0.02,0.07,0.06
1.0,29.1,0.01,0.009,3.42,1.61,0.09,0.005,0.043,1.13,39.6,3.6,0.04,0.12,0.05
0.05,7.13,0.31000000000000005,0.07,3.78,1.86,0.0,0.003,0.115,2.28,33.05,6.36,0.06,0.27,0.06
1.0,10.07,0.01,0.009,3.05,1.08,0.91,0.91,0.135,1.83,44.5,0.1,0.03,0.21,0.06
0.05,0.58,0.0,0.09,0.03,0.26,0.61,0.61,0.008,1.61,1.25,2.39,0.08,0.07,0.06
0.37,25.07,0.001,0.008,0.92,0.72,0.17,0.001,0.033,1.06,45.82,0.4,0.08,0.31,0.04
0.04,16.44,0.1,0.1,0.28,1.94,0.0,0.75,0.109,0.55,0.76,0.59,0.02,0.01,0.02
1.0,24.16,0.04,0.004,1.88,0.82,0.79,0.79,0.044,1.72,25.68,7.56,0.04,0.33,0.03
0.07,24.05,0.03,0.07,0.03,1.88,0.38,0.009,0.128,1.67,4.24,0.86,0.01,0.09,0.07
0.01,11.77,0.04,0.04,0.09,0.03,0.0,0.005,0.093,0.94,0.68,3.4,0.02,0.04,0.01
0.09,20.96,0.06,0.03,0.45,0.76,0.0,0.79,0.049,0.12,1.51,0.81,0.07,0.04,0.0
0.06,4.8,0.05,0.05,0.01,0.25,0.71,0.71,0.09,1.46,4.65,3.92,0.06,0.02,0.03
0.09,0.78,0.03,0.02,0.54,0.87,0.35,0.001,0.02,1.84,0.71,3.57,0.08,0.01,0.07
0.01,7.28,0.02,0.005,4.55,0.28,0.54,0.54,0.197,1.95,41.66,3.64,0.05,0.37,0.05
0.06,9.59,0.1,0.02,0.13,1.15,0.11,0.001,0.087,1.91,3.86,1.64,0.1,0.1,0.07
1.0,21.74,0.31000000000000005,0.12,6.24,0.76,0.0,0.0,0.049,2.21,8.68,4.29,0.07,0.08,0.0
0.07,23.54,0.001,0.007,7.06,1.19,0.49,0.003,0.057,1.41,52.36,3.1,0.07,0.31,0.08
0.05,8.68,0.03,0.08,0.1,0.05,0.0,0.004,0.069,0.15,2.63,1.03,0.08,0.05,0.09
0.04,9.59,0.09,0.07,0.18,0.01,0.43,0.002,0.185,1.24,3.85,0.95,0.05,0.07,0.08
0.16,9.01,0.02,0.007,1.8,0.83,0.43,0.003,0.124,1.88,45.85,2.07,0.06,0.31,0.03
0.32,21.19,0.21,0.08,5.32,0.1,0.89,0.89,0.001,1.33,36.37,1.36,0.0,0.41,0.08
0.01,0.0,0.0,0.0,0.39,1.95,0.0,0.0,0.006,2.51,5.52,0.2,0.01,0.03,0.01
0.55,8.06,0.31000000000000005,0.04,0.66,0.69,0.62,0.62,0.103,1.57,15.66,5.29,0.06,0.46,0.0
0.07,3.5,0.01,0.07,0.35,0.05,0.0,0.003,0.102,0.25,4.12,0.41,0.01,0.05,0.09
0.03,20.17,0.08,0.09,0.08,0.03,0.0,0.0,0.114,1.0,3.15,4.16,0.05,0.0,0.06
0.04,27.72,0.06,0.02,0.15,0.07,0.0,0.006,0.037,0.74,0.97,4.4,0.05,0.01,0.05
0.03,23.06,0.06,0.12,0.74,0.54,0.05,0.001,0.166,1.38,11.22,0.92,0.07,0.03,0.08
1.0,14.48,0.01,0.006,3.21,0.82,0.29,0.005,0.198,1.73,39.45,7.78,0.06,0.16,0.04
1.0,0.26,0.03,0.002,6.13,0.18,0.78,0.78,0.174,1.83,51.29,3.81,0.07,0.03,0.06
1.0,7.98,0.05,0.001,4.4,1.65,0.0,0.0,0.048,1.58,50.17,1.76,0.1,0.44,0.01
0.04,8.61,0.06,0.1,0.03,1.01,0.0,0.006,0.127,0.74,6.39,0.8,0.0,0.05,0.01
0.01,0.49,0.04,0.0,0.11,0.03,0.0,0.0,0.035,1.38,1.23,4.69,0.0,0.09,0.02
1.0,27.42,0.31000000000000005,0.01,1.16,1.69,0.0,0.0,0.181,2.02,46.34,2.65,0.07,0.4,0.01
0.06,9.0,0.1,0.09,7.76,0.07,0.8,0.8,0.107,2.2,55.05,3.91,0.08,0.13,0.04
0.4,24.73,0.31000000000000005,0.13,2.8,0.04,0.44,0.007,0.035,2.02,2.76,3.1,0.09,0.49,0.01
0.04,19.88,0.24,0.09,6.34,0.02,0.63,0.63,0.001,1.53,39.65,4.14,0.04,0.12,0.05
1.0,18.02,0.04,0.005,5.22,0.62,0.23,0.006,0.12,1.3,6.87,5.77,0.01,0.03,0.07
0.06,15.84,0.29,0.12,2.1,0.63,0.18,0.004,0.031,2.32,42.64,5.86,0.05,0.07,0.08
0.05,25.48,0.31000000000000005,0.12,0.76,1.39,0.0,0.008,0.08,1.79,28.76,7.21,0.09,0.22,0.08
0.39,16.72,0.31000000000000005,0.07,1.7,1.05,0.37,0.002,0.113,1.54,18.52,7.65,0.08,0.19,0.03
0.08,13.21,0.04,0.01,0.46,0.01,0.0,0.005,0.156,0.76,0.04,0.26,0.03,0.0,0.06
0.03,7.17,0.08,0.02,0.11,0.0,0.0,0.001,0.151,0.07,7.48,0.54,0.1,0.09,0.02
0.03,1.42,0.01,0.04,0.12,0.86,0.39,0.005,0.016,1.89,9.01,0.81,0.01,0.09,0.04
1.0,7.48,0.03,0.004,3.03,0.55,0.0,0.0,0.18,1.83,48.83,7.79,0.08,0.13,0.01
0.03,14.3,0.02,0.006,7.51,1.86,0.36,0.003,0.185,1.44,19.55,7.29,0.07,0.02,0.01
0.23,3.98,0.31000000000000005,0.09,2.05,0.6,0.0,0.0,0.164,1.18,45.8,3.44,0.06,0.44,0.04
0.02,15.22,0.04,0.05,0.03,0.47,0.4,0.0,0.02,1.88,10.53,0.05,0.07,0.01,0.08
0.06,4.59,0.15,0.06,1.88,1.49,0.66,0.66,0.099,1.87,10.87,6.53,0.02,0.07,0.09
1.0,26.3,0.01,0.008,0.95,0.53,0.0,0.0,0.076,1.05,25.8,6.6,0.05,0.34,0.05
0.06,0.35,0.05,0.05,0.02,0.03,0.0,0.0,0.113,1.62,2.93,1.84,0.02,0.07,0.0
0.05,13.85,0.06,0.09,0.05,1.86,0.0,0.003,0.185,0.34,5.7,0.72,0.07,0.07,0.01
0.1,1.62,0.02,0.09,0.09,0.05,0.0,0.007,0.069,0.44,3.11,0.76,0.07,0.08,0.03
1.0,27.86,0.03,0.003,5.81,0.47,0.4,0.0,0.02,1.73,53.85,2.13,0.07,0.28,0.08
0.06,8.67,0.08,0.09,0.06,0.54,0.27,0.004,0.069,1.84,2.26,1.95,0.08,0.0,0.09
0.07,9.24,0.09,0.05,0.2,0.32,0.0,0.006,0.123,0.37,3.63,0.41,0.04,0.05,0.03
0.04,18.23,0.04,0.001,5.14,0.16,0.44,0.007,0.093,1.66,3.3,7.53,0.05,0.06,0.05
1.0,7.38,0.31000000000000005,0.07,3.12,0.55,0.26,0.006,0.18,1.9,55.35,7.79,0.08,0.13,0.01
0.02,14.95,0.08,0.09,0.13,0.08,0.0,0.76,0.168,0.94,0.48,1.77,0.07,0.03,0.0
0.01,2.08,0.08,0.07,0.27,1.6,0.02,0.003,0.178,0.61,1.96,3.12,0.03,0.07,0.01
0.06,26.45,0.01,0.001,7.89,1.62,0.99,0.99,0.162,1.38,49.62,7.87,0.02,0.31,0.04
1.0,3.23,0.31000000000000005,0.06,6.7,1.49,1.0,1.0,0.092,1.76,33.97,2.71,0.04,0.35,0.04
0.05,27.36,0.05,0.01,0.29,0.1,0.0,0.008,0.085,0.71,1.49,0.55,0.09,0.03,0.03
0.08,22.99,0.06,0.09,0.04,0.5,0.44,0.004,0.034,1.2,0.87,1.91,0.09,0.02,0.02
0.04,1.55,0.03,0.0,0.21,0.06,0.63,0.0,0.026,1.91,8.98,7.46,0.07,0.09,0.0
0.08,11.82,0.3,0.1,7.5,1.43,0.58,0.58,0.16,1.29,30.49,6.74,0.0,0.42,0.0
0.04,9.43,0.04,0.004,7.49,1.85,0.36,0.005,0.072,1.18,15.5,4.59,0.1,0.39,0.06
0.04,13.08,0.31000000000000005,0.04,5.0,0.73,0.45,0.006,0.053,1.75,10.81,6.6,0.1,0.06,0.04
0.06,24.81,0.1,0.09,0.07,0.4,0.61,0.61,0.04,1.38,1.4,0.64,0.03,0.03,0.02
0.25,2.5,0.03,0.006,3.25,1.79,0.25,0.008,0.03,1.68,19.09,4.23,0.08,0.39,0.04
0.02,18.17,0.04,0.0,0.08,1.56,0.0,0.0,0.044,1.51,0.5,2.11,0.04,0.01,0.03
0.06,26.42,0.03,0.002,7.12,1.4,0.74,0.74,0.145,1.17,4.14,2.63,0.08,0.22,0.06
1.0,7.38,0.31000000000000005,0.1,1.31,1.52,0.15,0.008,0.042,2.27,3.2,1.71,0.05,0.49,0.02
0.1,0.51,0.03,0.05,0.28,1.3,0.55,0.55,0.1,0.59,0.25,2.94,0.02,0.02,0.04
1.0,5.36,0.03,0.003,4.38,1.96,0.5,0.5,0.196,1.23,35.86,7.77,0.07,0.12,0.06
0.04,20.61,0.06,0.03,0.01,1.55,0.89,0.89,0.041,1.61,0.02,2.98,0.01,0.07,0.02
1.0,10.11,0.03,0.001,4.08,0.9,0.0,0.0,0.061,1.16,43.79,0.56,0.06,0.21,0.03
0.08,2.21,0.31000000000000005,0.02,4.6,0.05,0.49,0.001,0.031,2.02,26.52,3.93,0.09,0.43,0.03
0.03,14.93,0.1,0.04,0.12,0.0,0.0,0.0,0.17,2.13,6.89,4.35,0.08,0.06,0.08
0.1,10.41,0.08,0.0,0.09,0.13,0.0,0.0,0.104,1.89,7.61,2.43,0.09,0.09,0.05
1.0,20.36,0.31000000000000005,0.01,7.3,1.16,0.0,0.002,0.09,2.35,33.08,5.83,0.1,0.24,0.04
1.0,26.63,0.31000000000000005,0.02,0.9,1.86,0.0,0.55,0.013,1.82,17.92,1.34,0.03,0.19,0.05
0.29,19.42,0.02,0.005,1.97,0.18,0.79,0.79,0.132,1.68,25.97,6.35,0.0,0.17,0.06
0.1,11.86,0.03,0.001,2.21,1.81,0.09,0.006,0.083,1.56,27.88,6.11,0.05,0.24,0.0
1.0,20.81,0.04,0.004,7.7,0.44,0.77,0.77,0.112,1.34,11.0,1.53,0.01,0.27,0.06
0.03,13.62,0.09,0.02,0.12,1.74,0.0,0.0,0.102,2.53,0.37,0.98,0.06,0.01,0.02
1.0,24.22,0.31000000000000005,0.1,1.46,0.68,0.95,0.95,0.006,1.58,38.59,6.59,0.04,0.46,0.08
0.07,14.02,0.04,0.08,0.03,0.08,0.0,0.74,0.067,0.33,2.65,1.63,0.04,0.06,0.02
0.05,6.71,0.08,0.04,0.23,0.77,0.0,0.007,0.148,1.11,1.77,0.65,0.03,0.01,0.02
0.01,20.82,0.03,0.02,0.51,0.53,0.19,0.004,0.011,1.96,2.66,0.51,0.03,0.05,0.05
0.1,25.71,0.07,0.07,0.09,1.17,0.57,0.57,0.109,1.99,0.14,0.09,0.05,0.06,0.02
0.05,12.08,0.04,0.03,0.03,0.06,0.0,0.75,0.166,0.76,0.39,1.41,0.08,0.08,0.07
1.0,20.31,0.31000000000000005,0.07,4.46,0.95,0.0,0.008,0.181,1.67,6.05,7.35,0.06,0.18,0.02
0.12,13.84,0.01,0.003,3.41,0.73,0.84,0.84,0.081,1.67,32.08,4.26,0.08,0.26,0.07
0.06,9.07,0.05,0.06,0.19,0.22,0.0,0.63,0.162,0.22,3.56,5.78,0.09,0.01,0.06
0.1,0.4,0.06,0.09,0.1,0.06,0.0,0.0,0.174,1.49,0.21,0.53,0.05,0.08,0.07
1.0,2.81,0.01,0.002,4.41,1.06,0.15,0.001,0.189,1.79,30.24,0.86,0.1,0.41,0.0
0.1,9.79,0.001,0.008,0.79,0.01,0.5,0.5,0.148,1.95,47.93,1.23,0.06,0.01,0.02
0.02,9.07,0.06,0.07,0.23,0.04,0.0,0.84,0.1,0.29,10.57,0.53,0.03,0.03,0.06
0.17,17.35,0.04,0.002,6.24,0.89,0.07,0.008,0.122,1.52,37.72,7.53,0.05,0.15,0.05
0.25,14.41,0.31000000000000005,0.02,0.47,0.02,0.34,0.004,0.05,1.47,33.26,0.63,0.03,0.19,0.04
0.01,17.91,0.09,0.07,0.17,0.55,0.68,0.68,0.198,1.02,0.1,0.57,0.03,0.04,0.06
0.03,16.93,0.08,0.03,0.33,0.02,0.0,0.001,0.168,0.14,3.37,2.48,0.04,0.09,0.08
0.05,18.95,0.03,0.08,0.1,0.06,0.0,0.59,0.053,0.47,3.37,5.61,0.08,0.04,0.04
1.0,16.62,0.02,0.001,5.56,0.36,0.03,0.005,0.19,1.86,51.19,3.71,0.06,0.13,0.04
0.09,17.46,0.03,0.06,0.05,0.59,0.2,0.001,0.168,1.11,2.19,0.22,0.04,0.03,0.08
0.06,9.11,0.1,0.03,0.09,0.05,0.8,0.0,0.164,1.55,2.59,4.62,0.05,0.0,0.06
0.04,6.2,0.06,0.04,0.59,0.33,0.29,0.004,0.093,1.0,1.4,0.03,0.03,0.03,0.05
0.04,3.04,0.08,0.09,0.04,0.06,0.0,0.0,0.138,1.0,0.99,0.2,0.01,0.08,0.06
1.0,22.68,0.01,0.009,1.36,1.26,0.75,0.75,0.011,1.28,17.71,1.03,0.02,0.02,0.06
0.09,7.04,0.07,0.04,0.14,0.08,0.0,0.005,0.092,0.92,1.57,0.72,0.09,0.05,0.04
0.07,5.44,0.001,0.008,4.47,1.11,0.29,0.002,0.155,1.19,34.44,0.02,0.07,0.05,0.01
0.01,6.06,0.03,0.01,0.62,0.84,0.46,0.002,0.074,1.42,4.81,4.81,0.07,0.09,0.05
0.07,5.91,0.02,0.02,0.44,1.04,0.09,0.007,0.179,0.65,5.14,0.77,0.04,0.02,0.09
0.03,22.17,0.0,0.02,0.44,1.59,0.88,0.88,0.183,0.76,0.15,0.26,0.06,0.02,0.07
0.07,19.96,0.03,0.008,4.4,0.38,0.76,0.76,0.121,1.37,29.55,3.29,0.07,0.26,0.09
0.01,22.97,0.07,0.03,0.09,0.76,0.65,0.65,0.044,1.81,3.4,2.01,0.03,0.07,0.02
0.04,17.36,0.02,0.09,0.03,0.09,0.1,0.007,0.028,0.65,5.85,4.77,0.06,0.05,0.03
0.01,15.87,0.03,0.09,0.39,1.64,0.61,0.61,0.038,1.88,1.84,0.12,0.09,0.01,0.03
1.0,28.93,0.03,0.003,5.6,1.38,0.97,0.97,0.017,1.39,3.3,0.0,0.04,0.35,0.06
1.0,7.51,0.04,0.01,3.67,0.91,0.0,0.74,0.16,1.25,33.38,1.56,0.01,0.16,0.08
0.05,10.29,0.02,0.005,4.05,0.19,0.0,0.0,0.162,1.35,24.25,0.62,0.07,0.06,0.03
1.0,20.59,0.3,0.08,6.41,1.23,0.57,0.57,0.176,1.9,41.55,4.67,0.02,0.11,0.05
0.13,6.52,0.04,0.002,6.6,0.04,0.84,0.84,0.032,1.48,33.77,1.16,0.07,0.01,0.0
0.34,16.82,0.05,0.002,1.51,1.05,0.0,0.0,0.113,1.48,27.45,7.65,0.08,0.19,0.03
0.03,3.34,0.31000000000000005,0.09,5.62,0.02,0.97,0.97,0.001,1.19,50.93,7.36,0.03,0.1,0.0
0.02,15.94,0.04,0.01,0.24,0.15,0.0,0.76,0.036,0.64,0.12,0.59,0.03,0.05,0.08
0.25,22.68,0.01,0.009,1.36,1.26,0.75,0.75,0.011,1.28,17.71,1.03,0.02,0.02,0.06
1.0,7.47,0.05,0.001,4.02,0.05,0.94,0.94,0.151,1.19,55.8,5.56,0.07,0.17,0.03
0.01,9.92,0.04,0.07,0.12,0.06,0.0,0.82,0.023,0.15,0.43,0.43,0.03,0.02,0.06
0.02,6.16,0.05,0.1,0.13,0.86,0.15,0.009,0.046,1.37,4.36,3.68,0.02,0.01,0.0
0.07,19.12,0.06,0.07,0.03,0.04,0.0,0.92,0.105,0.78,5.31,0.28,0.01,0.08,0.04
1.0,16.06,0.28,0.13,7.98,0.58,0.0,0.52,0.103,2.86,30.67,6.38,0.01,0.27,0.0
0.09,13.42,0.01,0.0,0.01,1.57,0.59,0.59,0.086,0.41,4.22,0.76,0.06,0.01,0.07
0.01,16.88,0.06,0.06,0.57,1.74,0.07,0.008,0.091,1.85,0.75,0.96,0.02,0.09,0.05
0.01,8.01,0.05,0.06,0.17,0.06,0.05,0.003,0.075,0.37,5.17,6.68,0.05,0.06,0.0
0.02,29.36,0.09,0.04,0.05,1.34,0.77,0.77,0.11,0.07,7.18,0.6,0.06,0.03,0.04
1.0,3.72,0.31000000000000005,0.09,0.9,1.6,0.0,0.68,0.153,1.91,25.79,7.22,0.05,0.49,0.05
0.05,23.22,0.06,0.09,0.34,1.83,0.0,0.009,0.137,0.16,0.4,0.05,0.06,0.04,0.02
0.05,21.69,0.05,0.1,0.3,0.68,0.26,0.006,0.155,1.26,0.72,5.36,0.05,0.08,0.0
1.0,11.54,0.31000000000000005,0.03,5.86,0.4,0.42,0.008,0.062,1.58,15.48,7.76,0.06,0.03,0.09
0.48,29.15,0.001,0.001,4.07,0.26,0.91,0.91,0.176,1.2,38.6,3.22,0.05,0.06,0.09
0.03,17.71,0.05,0.05,0.38,1.98,0.41,0.0,0.099,1.69,0.42,0.03,0.06,0.09,0.08
0.06,17.45,0.05,0.09,0.43,0.16,0.0,0.007,0.093,0.01,0.25,6.8,0.05,0.03,0.05
0.04,15.11,0.06,0.04,0.3,1.08,0.0,0.89,0.08,0.1,4.81,4.48,0.06,0.05,0.08
0.08,19.9,0.03,0.006,4.3,0.08,0.26,0.003,0.146,1.56,51.39,2.41,0.09,0.12,0.05
0.02,0.58,0.11,0.05,2.51,0.0,0.7,0.7,0.096,1.86,12.42,4.03,0.03,0.37,0.08
0.03,2.73,0.07,0.01,0.39,0.01,0.0,0.6,0.16,0.99,0.39,0.91,0.02,0.1,0.07
1.0,19.35,0.28,0.05,1.02,0.36,0.0,0.0,0.116,1.8,1.29,7.85,0.06,0.05,0.08
1.0,1.31,0.02,0.003,1.84,1.8,0.88,0.88,0.088,1.07,9.01,2.62,0.04,0.38,0.05
0.09,23.88,0.31000000000000005,0.02,0.76,1.35,0.7,0.7,0.101,1.31,17.68,5.58,0.09,0.38,0.03
0.05,6.27,0.02,0.06,0.03,1.0,0.0,0.0,0.092,1.4,5.78,1.49,0.09,0.08,0.04
0.02,4.97,0.01,0.006,3.7,0.41,0.29,0.006,0.101,1.29,18.51,5.73,0.07,0.18,0.05
1.0,3.08,0.01,0.002,7.43,1.67,0.54,0.54,0.141,1.64,45.28,0.8,0.04,0.4,0.03
0.09,5.62,0.05,0.08,0.51,0.33,0.0,0.008,0.163,0.27,6.7,0.68,0.04,0.0,0.06
0.06,20.36,0.03,0.1,0.18,0.01,0.0,0.89,0.142,0.96,7.59,0.89,0.0,0.03,0.08
